,npsn,nama_sekolah,kota_kab,kode_bps_desa,lintang,bujur
0,20227466,SMAN 11 Garut,Kabupaten Garut,3205190008,-7.2172,107.902
1,20220341,SMAN 10 Bogor,Kota Bogor,3271050015,-6.5599,106.7652
2,20223032,SMAN 11 Bekasi,Kota Bekasi,3275020001,-6.3437,106.9399
3,20223019,SMAN 10 Bekasi,Kota Bekasi,3275061003,-6.2091,106.9748
4,20231719,SMAN 13 Bekasi,Kota Bekasi,3275040005,-6.2599,107.0202
5,69857938,SMAN 12 Kota Depok,Kota Depok,3276021005,-6.419987,106.795555
6,20262716,SMAN 1 Bantarkalong,Kabupaten Tasikmalaya,3206070010,-7.5769,108.0969
7,20214970,SMAN 1 Astanajapura,Kabupaten Cirebon,3209080010,-6.7882,108.6181
8,20210768,SMAN 1 Ciawi,Kabupaten Tasikmalaya,3206260011,-7.1381,108.1441
9,20218357,SMAN 1 Cibarusah,Kabupaten Bekasi,3216030003,-6.4128,107.0842
10,20231325,SMAN 1 Cigudeg,Kabupaten Bogor,3201270010,-6.5544,106.534
11,20237371,SMAN 1 Cikampek,Kabupaten Karawang,3215072002,-6.4213,107.4728
12,20206145,SMAN 1 Ciparay,Kabupaten Bandung,3204130004,-7.0537,107.7093
13,69881559,SMAN 1 Cisayong,Kabupaten Tasikmalaya,3206230014,-7.244366,108.127268
14,20252287,SMAN 1 Cimaragas,Kabupaten Ciamis,3207140004,-7.3707,108.4636
15,20231331,SMAN 1 Gunung Sindur,Kabupaten Bogor,3201250009,-6.3833,106.6595
16,20217338,SMAN 1 Jatiluhur,Kabupaten Purwakarta,3214010018,-6.5591,107.4285
17,20211490,SMAN 1 Kawali,Kabupaten Ciamis,3207280004,-7.1869,108.3639
18,20217787,SMAN 1 Klari,Kabupaten Karawang,3215040013,-6.360251,107.377953
19,20211502,SMAN 1 Lakbok,Kabupaten Ciamis,3207110008,-7.3879,108.6748
20,20233752,SMAN 1 Lohbener,Kabupaten Indramayu,3212170009,-6.3981,108.2836
21,20202266,SMAN 1 Nagrak,Kabupaten Sukabumi,3202220004,-6.8645,106.8039
22,20211503,SMAN 1 Mangunjaya,Kabupaten Pangandaran,3218100003,-7.4904,108.6981
23,20200887,SMAN 1 Parung Panjang,Kabupaten Bogor,3201300011,-6.3589,106.5832
24,20227901,SMAN 1 Parongpong,Kabupaten Bandung Barat,3217110006,-6.8098,107.5762
25,20253152,SMAN 1 Sukadana,Kabupaten Ciamis,3207200005,-7.2569,108.4448
26,20238437,SMAN 1 Sindangkasih,Kabupaten Ciamis,3207160004,-7.3451,108.5
27,20215977,SMAN 1 Sukagumiwang,Kabupaten Indramayu,3212081007,-6.5512,108.35
28,20221559,SMAN 1 Sukabumi,Kota Sukabumi,3272020003,-6.9388,106.9306
29,20237993,SMAN 1 Tambelang,Kabupaten Bekasi,3216110005,-6.1852,107.1223
30,20209193,SMAN 20 Garut,Kabupaten Garut,3205110006,-7.4941,107.9148
31,20214988,SMAN 1 Waled,Kabupaten Cirebon,3209010009,-6.914,108.7154
32,69964922,SMAN 1 Tirtajaya,Kabupaten Karawang,3215180002,-6.098809,107.253053
33,20217780,SMAN 1 Telukjambe,Kabupaten Karawang,3215031001,-6.3246,107.3053
34,20203723,SMAN 2 Cianjur,Kabupaten Cianjur,3203200009,-6.8242,107.1226
35,20247316,SMAN 2 Cikampek,Kabupaten Karawang,3215050013,-6.3973,107.4326
36,20215993,SMAN 2 Indramayu,Kabupaten Indramayu,3212150012,-6.3342,108.3443
37,20222365,SMAN 2 Cirebon,Kota Cirebon,3274010002,-6.7539,108.5421
38,69915815,SMAN 2 Telukjambe Timur,Kabupaten Karawang,3215031005,-6.3342,107.282
39,20237996,SMAN 3 Tambun Selatan,Kabupaten Bekasi,3216081009,-6.2263,107.0621
40,20227471,SMAN 5 Garut,Kabupaten Garut,3205070002,-7.6365,107.7316
41,20222367,SMAN 4 Cirebon,Kota Cirebon,3274010003,-6.7487,108.5405
42,20227459,SMAN 7 Garut,Kabupaten Garut,3205030008,-7.4668,107.5941
43,69989079,SMAN 2 Cibarusah,Kabupaten Bekasi,3216030003,-6.4128,107.082
44,20232466,SMKN 1 Bojong Gede,Kabupaten Bogor,3201220002,-6.4904,106.7717
45,20244734,SMKN 1 Cibarusah,Kabupaten Bekasi,3216030004,-6.4141,107.1086
46,20255901,SMKN 1 Cikedung,Kabupaten Indramayu,3212040006,-6.4966,108.1869
47,69967710,SMKN 1 Cipongkor,Kabupaten Bandung Barat,3217060008,-6.952685,107.385799
48,20237464,SMKN 1 Jatisari,Kabupaten Karawang,3215070011,-6.3662,107.5292
49,20229219,SMKN 1 Depok,Kota Depok,3276041002,-6.439918,106.883702
50,20233758,SMKN 1 Balongan,Kabupaten Indramayu,3212140007,-6.3596,108.3737
51,20229783,SMKN 1 Rancaekek,Kabupaten Bandung,3204110011,-6.988362,107.806281
52,20253097,SMKN 1 Rancah,Kabupaten Ciamis,3207180002,-7.2636,108.499
53,20216005,SMKN 1 Anjatan,Kabupaten Indramayu,3212210013,-6.3307,107.9658
54,20225282,SMKN 1 Banjar,Kota Banjar,3279010005,-7.3707,108.527
55,20216004,SMKN 1 Indramayu,Kabupaten Indramayu,3212150011,-6.3406,108.338
56,20229784,SMKN 7 Baleendah,Kabupaten Bandung,3204140002,-7.015,107.6515
57,20219141,SMKN 7 Bandung,Kota Bandung,3273090003,-6.9405,107.6602
58,20252324,SMAN 1 Cisaga,Kabupaten Ciamis,3207160004,-7.34994,108.510478
59,69849086,SMKN Maniis,Kabupaten Purwakarta,3214020003,-6.686948,107.358475
60,20267759,SMKN Peternakan Lembang,Kabupaten Bandung Barat,3217120012,-6.802,107.6511
61,20271184,SMKN 1 Gunung Sindur,Kabupaten Bogor,3201250007,-6.3724,106.7087
62,20217802,SMKN 1 Karawang,Kabupaten Karawang,3215113004,-6.2841,107.2864
63,20227905,SMAN 1 Katapang,Kabupaten Bandung,3204180008,-7.008178,107.557652
64,20238569,SMAN 1 Sukawangi,Kabupaten Bekasi,3216111005,-6.1129,107.1296
65,20223818,SMAN 2 Kota Depok,Kota Depok,3276030009,-6.394115,106.849655
66,20233680,SMKN 1 Subang,Kabupaten Subang,3213070005,-6.5559,107.7604
67,69823285,SMAN 3 Babelan,Kabupaten Bekasi,3216090001,-6.1722784,107.0110735
68,20258176,SMKN 5 Kota Bekasi,Kota Bekasi,3275070005,-6.203,107.0187
69,20232374,SMAN 1 Ciomas,Kabupaten Bogor,3201070016,-6.6045,106.7499
70,20231330,SMAN 1 Gunung Putri,Kabupaten Bogor,3201190004,-6.4268,106.9149
71,20200885,SMAN 1 Cibinong,Kabupaten Bogor,3201210012,-6.470353,106.861807
72,20200676,SMAN 1 Ciampea,Kabupaten Bogor,3201050017,-6.5561,106.6899
73,20257901,SMKN Pancatengah,Kabupaten Tasikmalaya,3206040005,-7.7002,108.2735
74,20229757,SMKN 1 Cibatu,Kabupaten Purwakarta,3214111006,-6.5137,107.5513
75,20237377,SMAN 1 Pangkalan,Kabupaten Karawang,3215010014,-6.4955,107.2184
76,20267642,SMAN 1 Rongga,Kabupaten Bandung Barat,3217010006,-6.9683,107.2964
77,20218369,SMKN 1 Cikarang Barat,Kabupaten Bekasi,3216071007,-6.2745,107.0896
