village_bps_code,sanitation,popdens
3201010001,not available,1569.14653224115
3201010002,not available,4558.50480181673
3201010003,not available,9050.16205818084
3201010004,not available,10617.7740438001
3201010005,not available,1250.82565717101
3201010006,not available,1670.68021643064
3201010007,not available,927.64018448094
3201010008,not available,1725.1668312373
3201010009,not available,2912.49902542469
3201010010,not available,1957.33570962641
3201010011,not available,2223.42505055899
3201020001,not available,5414.66405909792
3201020002,not available,5099.64661294793
3201020003,not available,1314.35127354076
3201020004,not available,5430.65706826119
3201020005,available,1290.44257143615
3201020006,not available,3287.36991072043
3201020007,not available,16725.8045623906
3201020016,not available,2649.84181288977
3201020017,not available,4121.37281964006
3201020018,not available,6717.74117669789
3201020019,not available,2183.01026063133
3201021001,available,2146.13975515296
3201021002,available,2384.13253388179
3201021003,available,19115.0788444171
3201021004,not available,18728.4152619047
3201021005,not available,2764.03446585629
3201021006,not available,2731.8606806118
3201021007,available,2328.66805054933
3201021008,not available,1700.35687642761
3201030001,not available,8620.74971718001
3201030002,not available,2290.43703869297
3201030003,not available,63840.8730882353
3201030004,not available,10739.1506974188
3201030005,not available,13737.9093987399
3201030006,not available,1655.87429936857
3201030007,not available,3412.05642930267
3201030008,not available,5197.22311093512
3201030009,not available,22810.3703581683
3201030010,not available,27368.4913803125
3201030011,not available,2974.12668590204
3201030012,not available,3404.65349400414
3201030013,not available,4647.06516789421
3201030014,not available,3420.41950308751
3201030015,not available,3865.43150116657
3201040001,not available,4317.71900457998
3201040002,not available,3259.80658275741
3201040003,not available,2444.84570396345
3201040004,not available,3268.73057418459
3201040005,not available,2599.57306154261
3201040006,not available,3946.87281570439
3201040007,not available,4474.12688030107
3201040008,not available,2787.69256412409
3201040009,not available,3945.24577605128
3201040010,not available,5227.43901811726
3201040011,not available,4033.32721513225
3201040012,not available,4876.59820541885
3201040013,not available,3128.68976934864
3201040014,not available,1837.53515557506
3201040015,not available,2189.81403064106
3201050004,not available,4331.90734446594
3201050008,available,4218.49533483607
3201050009,not available,3938.89480487435
3201050010,not available,3213.27372375908
3201050011,not available,3403.8123733538
3201050012,not available,4602.03878312881
3201050013,not available,537839.152959375
3201050014,available,6201.76823868225
3201050015,available,9075.14113485222
3201050016,available,87031.5125153153
3201050017,not available,4750.21016531833
3201050018,available,3951.34686968974
3201050019,not available,3539.82941561009
3201051001,not available,13319.4035494796
3201051002,not available,0
3201051003,not available,3549.72464464047
3201051004,not available,3684.1566400377
3201051005,not available,3967.8837118498
3201051006,not available,4015.93169076752
3201051007,not available,2427.77882828169
3201060001,not available,4073.60540168753
3201060002,not available,3985.38383526177
3201060003,not available,4051.8854547396
3201060004,not available,4020.40377505568
